Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI
7.5,9.95,7.85,0.15,90,0.255,22.5,180,134.5,27.1439627
11,9.65,7.7,0.45,205,0.2,62.5,410,77,15.78000142
7.5,9.9,7.65,0.55,100,0.1,26,200,101.5,20.61243849
8.5,9.65,7.55,0.35,300,0.25,97.5,600,148,29.82047541
10,9.55,7.8,0.25,190,0.15,47.5,380,106,21.4985693
11,9.45,7.75,0.85,222.5,0.3,67,445,97.5,19.85719022
9.5,9.55,7.9,0.5,285,0.195,74.5,570,203.5,40.80496483
10.5,9.85,7.7,0.25,145,0.115,60,290,95.5,19.4269714
14.5,9.8,7.95,0.25,112.5,0.1,26.5,225,99,20.12740793
16.5,9.25,7.65,0.25,147.5,0.15,66,295,111.5,22.591965
19,8.9,8.2,0.25,120,0.12,37.5,240,162,32.58445704
14.5,8.65,8.05,0.15,100,0.15,22,200,116,23.46003155
16,9.65,8.05,0.4,485,0.47,190.5,970,163,32.85586861
12.25,9.75,8,0.3,52.25,0.9,4,104.5,234.5,46.99696266
11.25,9.65,7.8,0.3,49.25,0.94,4,98.5,206.4,41.43189217
14.25,10.25,7.7,0.25,52.5,0.7,4.05,105,249.5,49.9543681
13.75,8.85,7.54,0.25,59.5,0.68,4,119,150.5,30.32503834
12.65,8.7,7.625,0.3,54.5,0.685,21,109,220,44.07282563
16.55,8.2,7.9,0.2,20.25,0.3,2,40.5,211.5,42.35104235
17,8.2,8.1,0.15,24,0.55,3,48,216.5,43.36769579
16.1,8.05,7.9,0.2,47.5,0.45,4,95,217,43.44803537
17.55,8.65,7.6,0.2,52.25,0.6,4.5,104.5,248,49.606431
11.5,9.65,7.75,0.2,142.5,0.3,52.5,285,87.5,17.85655392
21.1,8.7,8,0,1,0.5,2,2,214,42.88327649
26,8.9,8,0,6500,0.5,2000,13000,215,43.4338253
20,7.75,7.6,1.05,41,0.25,38.5,82,209,41.88003135
21.5,8.15,7.85,1.2,89.75,0.35,86.5,179.5,252,50.42990031
21.5,8.2,7.7,1.2,60,0.25,68,120,260,51.99759477
21,7.95,8,1.35,240,0.55,292,480,255,51.0764992
20.5,7.6,7.75,1.55,337.5,0.7,375,675,275.5,55.14885741
20,7.9,7.55,1.35,217.5,0.65,300,435,295,58.98332696
20.5,8.3,7.75,1.3,277.5,0.55,357,555,256,51.28418977
20,7.8,7.8,1.3,210,0.8,220,420,254.5,50.97599825
19.5,8.3,7.7,1.2,187.5,0.45,172,375,253,50.64576214
23,8.15,7.7,1.2,187.5,0.7,230,375,261,52.26402829
9.5,8.85,7.9,0.9,411.5,0.75,55.9,823,1345,266.6444468
9.5,8.4,7.6,0.55,409.75,0.75,20.4,819.5,1339.5,265.5162229
11.25,8.6,7.55,0.6,423.5,0.785,105.9,847,1321,261.8833697
11.25,8.7,7.6,0.95,452.5,0.78,47.9,905,1293.5,256.4534562
12,8.65,7.75,0.95,430,0.87,35.9,860,1221,242.1234217
11.5,8.5,7.9,0.65,70.45,0.7,29,140.9,1330.5,263.7501467
11.5,8.5,7.7,0.7,177.5,0.75,48,355,1317,261.0846822
17,9.85,8.2,0.1,97.5,0.16,23,195,1174,232.7794135
16,9.8,7.85,0.45,125,0.255,22,250,680,135.0744788
12,7.65,7.85,0.25,42.95,0.58,19.4,85.9,1364.5,270.4221597
19.75,9.05,8.3,0.25,112.5,0.1,27.5,225,279,55.73279407
20,9.7,8.3,0.25,130,0.15,35,260,143.5,28.95514187
10.35,8.7,7.9,0.7,81.5,0.55,25.5,163,752.5,149.4100527
10.35,8.75,7.65,0.6,108.5,0.55,32,217,745,147.918346
17.5,8.45,7.85,0,392.5,3.1,235,785,402,80.32884309
18,8.4,7.65,0,245,2.05,141.5,490,303.5,60.72754744
18,8.4,7.7,0,227.5,4.45,125.5,455,235.5,47.49825901
19,8.5,7.7,1,305,6.35,224.5,610,291,58.71409555
19,8.1,7.8,1.3,367.5,1.2,356.5,735,260,52.12827035
18,5.2,8,3.5,0,0,0,0,405,80.65530859
18,6.45,8.25,5.1,0,0.65,0,0,420,83.7904557
20.5,6.8,8.15,2.75,0,0.2,0,0,265,53.00542019
11,8.5,7.6,0.2,0,0,0,0,160,32.12328853
11,8.7,7.65,0.15,0,0,0,0,159,31.9303865
11,8.8,7.5,0.2,0,0,0,0,156.5,31.4368034
11,8.1,7.75,1,0,0,0,0,105.5,21.36861159
19,6.4,7.35,6.85,0,1.15,0,0,600,119.4908923
20.5,7.1,8.05,0.95,0,0,0,0,297,59.24824206
6.15,9.05,7.75,0.8,0,0,0,0,140,28.19991171
6.25,9,7.7,0.9,0,0,0,0,165,33.14664087
6,9.05,7.5,1.05,0,0,0,0,142.5,28.69777674
8.4,8.9,7.9,0.85,0,0,0,0,132,26.62460044
