Temperature,Dissolved_Oxygen,pH,BioChemical_Oxygen_Demand ,Fecal_Streptococci,Nitrate,Fecal_Coliform,Total_Coliform ,Conductivity ,Water_Quality
7.5,9.95,7.85,0.15,90.0,0.255,22.5,180.0,134.5,1
11.0,9.65,7.7,0.45,205.0,0.2,62.5,410.0,77.0,1
7.5,9.9,7.65,0.55,100.0,0.1,26.0,200.0,101.5,0
8.5,9.65,7.55,0.35,300.0,0.25,97.5,600.0,148.0,0
10.0,9.55,7.8,0.25,190.0,0.15,47.5,380.0,106.0,1
11.0,9.45,7.75,0.85,222.5,0.3,67.0,445.0,97.5,1
9.5,9.55,7.9,0.5,285.0,0.195,74.5,570.0,203.5,1
10.5,9.85,7.7,0.25,145.0,0.115,60.0,290.0,95.5,1
14.5,9.8,7.95,0.25,112.5,0.1,26.5,225.0,99.0,0
16.5,9.25,7.65,0.25,147.5,0.15,66.0,295.0,111.5,1
19.0,8.9,8.2,0.25,120.0,0.12,37.5,240.0,162.0,1
14.5,8.65,8.05,0.15,100.0,0.15,22.0,200.0,116.0,0
16.0,9.65,8.05,0.4,485.0,0.47,190.5,970.0,163.0,0
12.25,9.75,8.0,0.3,52.25,0.9,4.0,104.5,234.5,1
11.25,9.65,7.8,0.3,49.25,0.94,4.0,98.5,206.4,1
14.25,10.25,7.7,0.25,52.5,0.7,4.05,105.0,249.5,1
13.75,8.85,7.54,0.25,59.5,0.68,4.0,119.0,150.5,0
12.65,8.7,7.625,0.3,54.5,0.685,21.0,109.0,220.0,0
16.55,8.2,7.9,0.2,20.25,0.3,2.0,40.5,211.5,1
17.0,8.2,8.1,0.15,24.0,0.55,3.0,48.0,216.5,0
16.1,8.05,7.9,0.2,47.5,0.45,4.0,95.0,217.0,1
17.55,8.65,7.6,0.2,52.25,0.6,4.5,104.5,248.0,0
11.5,9.65,7.75,0.2,142.5,0.3,52.5,285.0,87.5,1
21.1,8.7,8.0,0.0,1.0,0.5,2.0,2.0,214.0,0
26.0,8.9,8.0,0.0,6500.0,0.5,2000.0,13000.0,215.0,1
20.0,7.75,7.6,1.05,41.0,0.25,38.5,82.0,209.0,1
21.5,8.15,7.85,1.2,89.75,0.35,86.5,179.5,252.0,1
21.5,8.2,7.7,1.2,60.0,0.25,68.0,120.0,260.0,0
21.0,7.95,8.0,1.35,240.0,0.55,292.0,480.0,255.0,1
20.5,7.6,7.75,1.55,337.5,0.7,375.0,675.0,275.5,0
20.0,7.9,7.55,1.35,217.5,0.65,300.0,435.0,295.0,0
20.5,8.3,7.75,1.3,277.5,0.55,357.0,555.0,256.0,1
20.0,7.8,7.8,1.3,210.0,0.8,220.0,420.0,254.5,0
19.5,8.3,7.7,1.2,187.5,0.45,172.0,375.0,253.0,0
23.0,8.15,7.7,1.2,187.5,0.7,230.0,375.0,261.0,1
9.5,8.85,7.9,0.9,411.5,0.75,55.9,823.0,1345.0,0
9.5,8.4,7.6,0.55,409.75,0.75,20.4,819.5,1339.5,0
11.25,8.6,7.55,0.6,423.5,0.785,105.9,847.0,1321.0,1
11.25,8.7,7.6,0.95,452.5,0.78,47.9,905.0,1293.5,0
12.0,8.65,7.75,0.95,430.0,0.87,35.9,860.0,1221.0,1
11.5,8.5,7.9,0.65,70.45,0.7,29.0,140.9,1330.5,0
11.5,8.5,7.7,0.7,177.5,0.75,48.0,355.0,1317.0,1
17.0,9.85,8.2,0.1,97.5,0.16,23.0,195.0,1174.0,1
16.0,9.8,7.85,0.45,125.0,0.255,22.0,250.0,680.0,1
12.0,7.65,7.85,0.25,42.95,0.58,19.4,85.9,1364.5,0
19.75,9.05,8.3,0.25,112.5,0.1,27.5,225.0,279.0,0
20.0,9.7,8.3,0.25,130.0,0.15,35.0,260.0,143.5,1
10.35,8.7,7.9,0.7,81.5,0.55,25.5,163.0,752.5,1
10.35,8.75,7.65,0.6,108.5,0.55,32.0,217.0,745.0,1
17.5,8.45,7.85,0.0,392.5,3.1,235.0,785.0,402.0,0
18.0,8.4,7.65,0.0,245.0,2.05,141.5,490.0,303.5,0
18.0,8.4,7.7,0.0,227.5,4.45,125.5,455.0,235.5,0
19.0,8.5,7.7,1.0,305.0,6.35,224.5,610.0,291.0,0
19.0,8.1,7.8,1.3,367.5,1.2,356.5,735.0,260.0,1
18.0,5.2,8.0,3.5,0.0,0.0,0.0,0.0,405.0,0
18.0,6.45,8.25,5.1,0.0,0.65,0.0,0.0,420.0,0
20.5,6.8,8.15,2.75,0.0,0.2,0.0,0.0,265.0,0
11.0,8.5,7.6,0.2,0.0,0.0,0.0,0.0,160.0,1
11.0,8.7,7.65,0.15,0.0,0.0,0.0,0.0,159.0,1
11.0,8.8,7.5,0.2,0.0,0.0,0.0,0.0,156.5,0
11.0,8.1,7.75,1.0,0.0,0.0,0.0,0.0,105.5,1
19.0,6.4,7.35,6.85,0.0,1.15,0.0,0.0,600.0,1
20.5,7.1,8.05,0.95,0.0,0.0,0.0,0.0,297.0,1
6.15,9.05,7.75,0.8,0.0,0.0,0.0,0.0,140.0,1
6.25,9.0,7.7,0.9,0.0,0.0,0.0,0.0,165.0,1
6.0,9.05,7.5,1.05,0.0,0.0,0.0,0.0,142.5,0
8.4,8.9,7.9,0.85,0.0,0.0,0.0,0.0,132.0,0
8.75,8.8,7.7,1.1,0.0,0.0,0.0,0.0,132.5,1
10.7,7.85,7.95,0.85,0.0,0.0,0.0,0.0,275.0,1
10.75,8.0,7.9,1.1,0.0,0.0,0.0,0.0,315.5,1
12.65,9.05,7.65,0.95,0.0,0.0,0.0,0.0,230.5,1
13.05,8.3,7.55,1.35,0.0,0.0,0.0,0.0,235.0,0
12.7,8.75,7.5,0.85,0.0,0.0,0.0,0.0,212.0,1
17.95,8.15,7.9,0.55,0.0,0.1,0.0,0.0,249.5,1
18.1,7.9,8.1,0.75,0.0,0.1,0.0,0.0,251.5,1
23.0,6.1,8.1,6.9,0.0,0.45,0.0,0.0,629.0,1
22.0,7.05,8.2,1.8,0.0,0.3,0.0,0.0,263.0,0
20.5,4.3,8.35,4.7,0.0,0.3,0.0,0.0,462.5,1
20.5,7.8,8.4,1.3,0.0,0.55,0.0,0.0,245.5,0
21.0,7.25,8.3,1.15,0.0,0.2,0.0,0.0,271.0,1
19.8,4.4,7.8,36.8,411.75,2.2,468.5,823.5,875.0,1
21.0,8.35,7.8,1.4,630.0,5.6,399.0,1260.0,338.0,0
15.0,6.95,7.8,0.2,27.95,0.75,3.4,55.9,331.5,0
15.0,6.95,7.7,0.25,35.45,0.9,30.9,70.9,920.5,1
16.25,7.0,7.65,0.2,30.45,0.85,3.9,60.9,323.5,1
16.0,6.7,7.55,0.2,32.95,0.6,3.95,65.9,333.5,1
15.5,6.9,7.6,0.2,35.45,0.55,3.9,70.9,354.0,1
16.25,6.85,7.6,0.2,37.95,0.6,3.95,75.9,300.5,1
17.5,7.05,7.95,0.3,56.0,0.85,4.0,112.0,496.0,0
15.0,6.85,8.05,0.3,45.45,0.85,30.65,90.9,2425.5,0
12.5,9.2,7.85,0.7,405.25,1.2,9.0,810.5,2371.0,1
12.5,9.05,7.9,1.25,94.0,1.25,13.9,188.0,2933.5,1
12.0,8.85,7.9,2.45,141.5,1.45,20.5,283.0,4049.0,0
13.5,9.3,7.8,0.65,415.75,1.35,22.5,831.5,516.5,0
22.0,8.2,8.4,0.0,0.0,0.0,0.0,0.0,191.0,0
22.0,8.2,8.4,0.0,0.0,0.0,0.0,0.0,188.0,0
21.5,7.8,7.95,0.0,0.0,0.0,0.0,0.0,116.0,0
16.0,8.5,8.1,0.2,0.0,0.0,0.0,0.0,119.0,1
22.0,8.6,8.35,0.1,85.0,0.0,23.5,170.0,399.5,0
20.5,9.3,8.1,0.1,72.25,0.0,19.0,144.5,417.0,0
